Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Hanbyeol,Ahn Hanbyeol,안한별,한별,10/13/2003,Dreamnote,South Korea,,,F
Handong,Han Dong,한동,한동,3/26/1996,Dreamcatcher,China,Wuhan,,F
Haneul,Lee Haneul,이하늘,하늘,6/3/1996,ARGON,South Korea,,,M
Hangyul,Lee Hangyul,이한결,한결,12/7/1999,X1,South Korea,,IM,M
Hani,Ahn Hee-yeon,안희연,하니,5/1/1992,EXID,South Korea,Seoul,,F
Hanna,Shin Jiyeon,신지연,한나,2/19/1994,MIXX,South Korea,,,F
Hanse,Do Hanse,도한세,한세,9/25/1997,VICTON,South Korea,,,M
Hansol,Kim Hansol,김한솔,한솔,6/15/1993,,South Korea,Busan,,M
Hara,Koo Hara,구하라,하라,1/13/1991,KARA,South Korea,Gwangju,,F
Harin,Ju Harin,주하린,주하린,3/29/1998,Onewe,South Korea,,,M
Harin,,,하린,11/21/1995,Lusty,South Korea,Seoul,,F
Harin,Park Guenhye,박근혜,하린,5/26/2000,Pink Fantasy,South Korea,,,F
Haru,Han Sangsook,한상숙,하루,7/6/1994,Gate9,South Korea,Bucheon,,F
Haru,Abe Haruno,아베 하루노,하루,2/21/2000,NATURE,Japan,,,F
Haru,Lee Yoojeong,이유정,하루,2/26/1997,Ho1iday,South Korea,,,F
Haruto,Watanabe Haruto,와타나베 하루토,하루토,4/5/2004,Treasure,Japan,,,M
Haseul,Jo Haseul,조하슬,하슬,8/18/1997,LOONA,South Korea,Ansan,Loona 1/3,F
Hayoon,Jung Hayoon,정하윤,하윤,11/21/1998,Bonus Baby,South Korea,,,F
Oh Hayoung,Oh Hayoung,오하영,하영,7/19/1996,Apink,South Korea,Seoul,,F
Hayoung,Lee Hayoung,이하영,하영,8/3/1993,Playback,South Korea,,,F
Hayoung,Choi Hayoung,최하영,하영,8/22/2000,TRCNG,South Korea,,,M
Hayoung,Song Hayoung,송하영,하영,9/29/1997,fromis_9,South Korea,Gwangju,,F
Hayun,Lee Hayun,이하윤,하윤,8/29/1994,Brave Girls,South Korea,Changwon,,F
Heechul,Kim Heechul,김희철,희철,7/10/1983,Super Junior,South Korea,Hoengseong,,M
Heechul,Jung Heechul,정희철,희철,12/9/1989,ZE:A,South Korea,Jeju,,M
Heedo,Yoon Heedo,유희도,희도,4/22/1996,B.I.G,South Korea,Seoul,,M
Heejin,Jeon Heejin,전희진,희진,10/19/2000,LOONA,South Korea,Seongnam,Loona 1/3,F
Heejin,Song Heejin,송희진,희진,8/19/1995,Good Day,South Korea,Seoul,,F
Heejoo,Jeon Heejoo,전희주,희주,11/30/1996,Ho1iday,South Korea,,,F
Heejun,Oh Heejun,오희준,희준,5/8/1996,KNK,South Korea,,,M
Heeo,Gwak Heeoh,곽히오,히오,5/2/1994,4TEN,South Korea,,,F
Heeseok,Yun Heeseok,윤희석,희석,6/10/1997,Limitless,South Korea,,,M
Heesun,Park Heesun,박희선,희선,1/25/2005,Pink Fantasy,South Korea,,,F
Heeyu,Choi Heejae,최희재,희유,6/30/1995,MIXX,South Korea,,,F
Henny,Kang Gayoung,강가영,헤니,12/1/1994,,South Korea,,,F
Henry,Henry Lau,헨리 라우,헨리,10/11/1989,Super Junior-M,Canada,Toronto,,M
Heo Chan,Heo Chan,허찬,허찬,12/14/1995,VICTON,South Korea,,,M
High.D,Kim Dohee,김도희,하이디,12/21/1996,Sonamoo,South Korea,Suwon,,F
HighTop,Lim Hyeontae,임현태,하이탑,3/19/1994,Bigflo,South Korea,,,M
Himchan,Kim Himchan,김힘찬,힘찬,4/19/1990,B.A.P,South Korea,Seoul,,M
Hitomi,Honda Hitomi,혼다 히토미,히토미,10/6/2001,IZ*ONE,Japan,Toghichi,,F
Hohyeon,Lee Hohyeon,이호현,호현,10/14/2001,TRCNG,South Korea,,,M
Hojoon,Jeon Hojoon,전호준,호준,10/31/1992,Topp Dogg,South Korea,Gwangju,,M
Hojung,Go Hojung,고호정,호정,10/20/1994,HOTSHOT,South Korea,,,M
Hongbin,Lee Hongbin,이홍빈,홍빈,9/29/1993,VIXX,South Korea,Seoul,,M
Honggi,Lee Honggi,이홍기,홍기,3/2/1990,FTISLAND,South Korea,Gwangju,,M
Hongil,Yoon Hongil,윤홍일,홍일,1/11/1999,Astin,South Korea,,,M
Hongjoong,Kim Hongjoong,김홍중,홍중,11/7/1998,ATEEZ,South Korea,,,M
Hongseob,Shim Hongseob,심홍섭,홍섭,1/8/1998,24K,South Korea,,,M
Hongseok,Yang Hongseok,양홍석,홍석,4/17/1994,PENTAGON,South Korea,,,M
Hoon,Yeo Hoonmin,여훈민,훈,8/16/1991,U-KISS,South Korea,Namyangju,,M
Hoshi,Kwon Soonyoung,권순영,호시,6/15/1996,Seventeen,South Korea,Namyangju,,M
Hoya,Lee Howon,이호원,호야,3/28/1991,,South Korea,Busan,Infinite H,M
Hoyoung,Bae Hoyoung,배호영,호영,8/10/1998,Verivery,South Korea,,,M
Hueningkai,Chung Kai,정카이,휴닝카이,8/14/2002,TXT,USA,,,M
Hui,Lee Hwitaek,이회택,후이,8/28/1993,PENTAGON,South Korea,,,M
Hui,Liang Hui,양휘,양휘,7/18/1995,24K,China,,,M
Huihyeon,Ki Huihyeon,기희현,희현,6/16/1995,DIA,South Korea,Namwon,,F
Huijun,Noh Huijun,노휘준,휘준,10/7/2003,MCND,South Korea,,,M
Hwall,Heo Hyunjoon,허현준,활,3/9/2000,The Boyz,South Korea,Busan,,M
Hwanhee,Lee Hwanhee,이환희,환희,11/6/1998,UP10TION,South Korea,Daejeon,,M
Hwani,Jo Sihyeon,조시환,화니,11/16/1994,DUSTIN,South Korea,,,M
Hwanwoong,Yeo Hwanwoong,여환웅,환웅,8/26/1998,Oneus,South Korea,,,M
Hwarang,Park Jonghan,박종찬,종찬,12/5/1995,Spectrum,South Korea,,,M
Hwasa,Ahn Hyejin,안혜진,화사,7/23/1995,Mamamoo,South Korea,Jeonju,,F
Hweseung,Yoo Hweseung,유회승,회승,2/28/1995,N.Flying,South Korea,,,M
Hwi,Jo Mingyu,조민규,휘,9/26/2002,Newkidd,South Korea,,,M
Hwiyoung,Kim Youngkyun,김영균,휘영,5/11/1999,SF9,South Korea,,,M
Hyangsuk,Lee Hyangsuk,이향숙,향숙,4/24/1991,2EYES,South Korea,Seoul,,F
Hyebin,Lee Hyebin,이혜빈,혜빈,1/12/1996,MOMOLAND,South Korea,Andong,,F
Hyebin,Im Hyebin,임혜빈,혜빈,11/10/1999,Highteen,South Korea,,,F
Hyejeong,Shin Hyejeong,신혜정,혜정,8/10/1993,AoA,South Korea,Seoul,,F
Hyeji,Jeong Hyeji,정혜지,혜지,4/2/1992,4TEN,South Korea,Seoul,,F
Hyejin,Baek Hyejin,백혜진,혜진,11/21/1996,4TEN,South Korea,Sacheon,,F
Hyejin,Kang Hyejin,강혜진,혜진,7/13/2000,CRAXY,South Korea,,,F
Hyejoo,Park Hyunjoo,박현주,혜주,1/12/1999,Highteen,South Korea,,,F
Hyemi,Pyo Hyemi,표혜미,혜미,4/3/1991,9Muses,South Korea,Gwangju,9MUSES A,F
Hyemi,Kim Hyemi,김혜미,혜미,8/10/1990,Fiestar,South Korea,Seoul,,F
Hyeoeun,Lee Hyoeun,이효은,효은,3/16/1993,Stellar,South Korea,Seoul,,F
Hyeongjun,Song Hyeongjun,송형준,형준,11/30/2002,X1,South Korea,,,M
Hyeongjun,Song Hyeongjun,송형준,형준,11/30/2002,CRAVITY,South Korea,,,M
Hyeongseo,Myeong Hyeongseo,명형서,형서,6/25/2001,Busters,South Korea,,,F
Hyeongseok,Chu Hyeongseok,추형석,형석,9/13/2000,Astin,South Korea,,,M
Hyeran,Noh Hyeran,노혜란,혜란,4/9/1993,Brave Girls,South Korea,,,F
Hyeri,Lee Hyeri,이혜리,혜리,6/9/1994,Girl's Day,South Korea,Gwangju,,F
Hyerim,Woo Hyerim,우혜림,혜림?,9/1/1992,Wonder Girls,South Korea,Seoul,,F
Hyerin,Seo Hyerin,서혜린,혜린,8/23/1993,EXID,South Korea,Gwangju,,F
Hyerin,Kim Hyerin,김혜린,혜린,6/13/1993,2EYES,South Korea,Seoul,,F
Hyeseong,Yang Hyeseon,양혜선,혜성,10/15/1999,ELRIS,South Korea,,,F
Hyewon,Kang Hyewon,강혜원,혜원,7/5/1999,IZ*ONE,South Korea,Yangsan,,F
Hyeyeon,Kang Hyeyeon,강혜연,혜연,12/8/1990,BESTie,South Korea,,,F
Hyeyeon,Cho Hyeyeon,조혜연,혜연,8/5/2000,Gugudan,South Korea,,Gugudan Oguogu,F
Hyogyeong,Jang Hyogyeong,장효경,효경,11/15/1999,ARIAZ,South Korea,,,F
Hyojin,Kim Hyojin,김효진,효진,4/22/1994,ONF,South Korea,Seoul,,M
Hyojung,Choi Hyojung,최효정,효정,7/28/1994,Oh My Girl,South Korea,Yangyang,,F
Hyomin,Park Sunyoung,박선영,효민,5/30/1989,T-ara,South Korea,Busan,,F
Hyolyn,Kim Hyojung,김효정,효린,1/11/1991,SISTAR,South Korea,,,F
Hyosun,Lim Hyosun,임효선,효선,7/10/1998,H.U.B,South Korea,,,F
Jun Hyoseong,Jun Hyoseong,전효성,효성,10/13/1989,SECRET,South Korea,Cheongju,,F
Hyoyeon,Kim Hyoyeon,김효연,효연,9/22/1989,SNSD,South Korea,Incheon,,F
Hyuk,Han Sanghyuk,한상혁,혁,7/5/1995,VIXX,South Korea,Daejeon,Big Byung,M
Hyukjin,Jang Hyukjin,장혁진,혁진,12/20/1993,100%,South Korea,Busan,,M
Hyuna,Kim Hyuna,김현아,현아,6/6/1992,4minute,South Korea,Jeolla,,F
Hyuna,Moon Hyuna,문현아,현아,1/19/1987,,South Korea,Yeosu,,F
VIINI,Kwon Hyunbin,권현빈,현빈,3/4/1997,JBJ,South Korea,Seoul,,M
Hyungsik,Park Hyungsik,박형식,형식,11/16/1991,ZE:A,South Korea,Yongin,,M
Hyungwon,Chae Hyungwon,채형원,형원,1/15/1994,MONSTA X,South Korea,Gwangju,,M
Hyunho,Lee Hyunho,이현호,현호,11/4/1998,D-CRUNCH,South Korea,,,M
Hyunjae,Lee Jaehyun,이재현,현재,9/13/1997,The Boyz,South Korea,,,M
Hyunji,Kim Hyunji,김현지,현지,6/30/1992,Hashtag,South Korea,,,F
Hyunjin,Kim Hyunjin,김현진,현진,11/15/2000,LOONA,South Korea,Jeonju,Loona 1/3,F
Hyunjin,Hwang Hyunjin,황현진,현진,3/20/2000,Stray Kids,South Korea,Seoul,,M
Hyunjoo,Lee Hyunjoo,이현주,현주,2/5/1998,UNI.T,South Korea,Seoul,,F
Hyunjun,Lee Hyunjun,이현준,현준,12/21/1999,IZ,South Korea,,,M
Hyunkyung,Kim Hyunjong,김현종,현경,9/5/1998,Romeo,South Korea,,,M
Hyunmin,Byun Hyunmin,변현민,현민,4/17/1999,,South Korea,,,M
Hyunoh,Park Hyunoh,백현우,현우,2/12/1999,D-CRUNCH,South Korea,,,M
Hyunseong,Shim Hyunseong,심현성,현성,6/9/1993,Boyfriend,South Korea,Yeongcheon,,M
Hyunseong,Go Hyunseo,고현서,현서,6/17/1999,G-reyish,South Korea,,,F
Hyunseung,Jang Hyunseung,장현승,현승,9/3/1989,,South Korea,Suncheon,Troublemaker,M
Lim Hyunsik,Lim Hyunsik,임현식,현식,3/7/1992,BtoB,South Korea,Ilsan,,M
Hyunsoo,Kim Hyunsoo,김현수,현수,4/12/1995,D1CE,South Korea,,,M
Hyunsuk,Choi Hyunsuk,최현석,현석,4/21/1999,Treasure,South Korea,Daegu,,M
Hyunsuk,Yoon Hyunsuk,윤현석,현석,9/8/2001,CIX,South Korea,,,M
Hyunuk,Han Hyunuk,한현욱,현욱,9/26/1994,IN2IT,South Korea,,,M
Hyunwoo,Kim Hyunwoo,김현우,현우,1/21/2001,TRCNG,South Korea,,,M
Hyunwoo,Baek Hyunwoo,박현오,현오,3/19/1999,D-CRUNCH,South Korea,,,M
Hyunwook,Ji Hyunwook,지현욱,현욱,7/1/1998,D-CRUNCH,South Korea,,,M
Hyunwoong,Kim Hyunwoong,김현웅,현웅,2/8/1998,14U,South Korea,,,M
Hyunyoung,Cho Hyunyoung,조현영,현영,8/11/1991,Rainbow,South Korea,Seoul,"Rainbow Blaxx, Rainbow Pixie",F
I,Cha Yoonji,차윤지,아이,12/2/1996,,South Korea,Busan,,F
I.M,Lim Changkyun,임창균,아이엠,1/26/1996,MONSTA X,South Korea,Gwangju,,M
I.N,Yang Yeongin,양정인,아이엔,2/8/2001,Stray Kids,South Korea,Busan,,M
Iaan,Yoo Dongju,유동주,이안,3/22/2002,NeonPunch,South Korea,,,F
Ilhoon,Jung Ilhoon,정일훈,일훈,10/4/1994,BtoB,South Korea,Seoul,,M
Inho,Hwang Inho,황인호,인호,6/21/1993,IN2IT,South Korea,,,M
Inpyo,Lee Inpyo,이인표,인표,8/14/1995,IN2IT,South Korea,,,M
Inseong,Kim Inseong,김인성,인성,7/12/1993,SF9,South Korea,,,M
Inseong,Jeong Inseong,정인성,인성,7/1/1994,KNK,South Korea,,,M
Insoo,Kang Insoo,강인수,인수,3/10/1988,MYNAME,South Korea,Suwon,,M
Irene,Bae Juhyun,배주현,아이린,3/29/1991,Red Velvet,South Korea,Daegu,,F
Isaac,Voo Isaak,부 아이젝,아이젝,12/12/1994,IN2IT,Malaysia,,,M
Isol,,,이솔,5/1/1997,Lusty,South Korea,Seoul,,F
IU,Lee Jieun,이지은,아이유,5/16/1993,,South Korea,Seoul,,F
J,Lee Yeji,이예지,제이,2/12/1998,ANS,South Korea,,,F
J-Hoon,Lim Junghoon,임정훈,제이훈,7/15/1990,B.I.G,South Korea,Seoul,,M
j-hope,Jung Hoseok,정호석,제이홉,2/18/1994,BTS,South Korea,Gwangju,,M
J-Kid,Han Jeonghoon,한정훈,제이키드,2/14/2000,ENOi,South Korea,,,M
J-Us,Lee Seungjoon,이승준,제이어스,1/13/1995,ONF,South Korea,Seoul,,M
J.seph,Kim Taehyung,김태형,제이셉,6/21/1992,KARD,South Korea,,,M
J.YOU,Kim Jaeyu,김제유,제유,11/2/2000,TOO,South Korea,,,M
Jackson,Jackson Wang,잭슨 왕,잭슨,3/28/1994,GOT7,Hong Kong,Hong Kong,,M
Jacob,Bae Joonyoung,배준영,제이콥,5/30/1997,The Boyz,South Korea,Toronto,,M
Jacob,Zhang Peng,장펑,제이콥,9/7/1996,VAV,China,,,M
Jae,Park Jaehyung,박제형,제이,9/15/1992,DAY6,South Korea,Buenos Aires,,M
Jaebin,Deung Bin,등빈,재빈,2/13/1997,VARSITY,China,Hunan,,M
Jaechan,Park Jaechan,박재찬,재찬,12/6/2001,Dongkiz,South Korea,,,M
Jaehan,Kim Jaehan,김재한,재한,7/1/1995,Spectrum,South Korea,,,M
Jaehee,Lee Jaehee,이재희,재희,3/18/2004,Weeekly,South Korea,,,F
Jaeho,Kim Jaeho,김재호,재호,9/17/1992,HISTORY,South Korea,,,M
Kim Jaehwan,Kim Jaehwan,김재환,재환,5/27/1996,Wanna One,South Korea,Seoul,,M
Jaehyo,Ahn Jaehyo,안재효,재효,12/23/1990,Block B,South Korea,Busan,,M
Jaehyuk,Yoon Jaehyuk,윤재혁,재혁,7/23/2001,Treasure,South Korea,,,M
Jaehyun,Jung Yoonoh,정윤오,재현,2/14/1997,NCT,South Korea,Seoul,"NCT U, NCT 127",M
Jaehyun,Kim Jaehyun,김재현,재현,7/15/1994,N.Flying,South Korea,Seoul,,M
Jaehyun,Bong Jaehyun,봉재현,재현,1/4/1999,Golden Child,South Korea,,,M
Jaejin,Lee Jaejin,이재진,재진,12/17/1991,FTISLAND,South Korea,Cheongju,,M
Jaejoong,Kim Jaejoong,김재중,재중,1/26/1986,JYJ,South Korea,Gongju,,M
Jaekyung,Kim Jaekyung,김재경,재경,12/24/1988,Rainbow,South Korea,Seoul,Rainbow Blaxx,F
Jaemin,Na Jaemin,나재민,재민,8/13/2000,NCT,South Korea,,NCT Dream,M
Jaeseok,Park Jaeseok,박재석,재석,11/20/1995,,South Korea,,,M
Jaeun,Ha Jaeun,한재운,재운,9/28/1999,ARGON,South Korea,,,M
Jaeyoon,Lee Jaeyoon,이재윤,재윤,8/9/1994,SF9,South Korea,,,M
Jaeyun,Lee Jaeyun,이재윤,이재윤,8/16/2000,TOO,South Korea,,,M
Jamie,Park Jimin,박지민,박지민,7/5/1997,15&,South Korea,Junggu,,F
Jane,Sung Jiyeon,성지연,제인,12/20/1997,MOMOLAND,South Korea,Changwon,,F
Jangjun,Lee Jangjun,이장준,장준,3/3/1997,Golden Child,South Korea,,,M
Jason,Kim Byeongkwan,김병관,제이슨,8/13/1996,A.C.E,South Korea,Seoul,,M
Jay,Kim Jinhwan,김진환,제이,2/7/1994,iKON,South Korea,Jeju,,M
JB,Im Jaebum,임재범,제이비,1/6/1994,GOT7,South Korea,Goyang,,M
Jea,Kim Hyojin,김효진,제아,9/18/1981,Brown Eyed Girls,South Korea,,,F
Jeewon,Kim Jiwon,김지원,지원,4/1/1999,Cignature,South Korea,Busan,,F
Jehyun,Moon Jehyun,문제현,제현,4/20/1999,1TEAM,South Korea,,,M
Jei,Kim Jinhee,김진희,재이,9/5/1989,Fiestar,South Korea,Bucheon,,F
Jen,Kim Yehyeon,김예현,젠,3/27/1997,UNVS,South Korea,,,M
Taeyang,Kim Taeyang,김태양,제니씨,8/2/1991,,South Korea,Seoul,,M
Jennie,Kim Jennie,김제니,제니,1/16/1996,BLACKPINK,South Korea,Anyang,,F
Jenny,Lee Soyul,이소율,제니,9/4/1996,DIA,South Korea,Seoul,,F
Jeno,Lee Jeno,이제노,제노,4/23/2000,NCT,South Korea,,NCT Dream,M
Jeon Woong,Jeon Woong,전웅,전웅,10/15/1997,AB6IX,South Korea,,,M
Jeonghan,Yoon Jeonghan,윤정한,정한,10/4/1995,Seventeen,South Korea,Seoul,,M
Jeonghee,Go Jeonghee,고정희,정희,3/11/2000,Favorite,South Korea,Incheon,,F
Jeongkyun,Jeong Jeongkyun,정정균,정균,11/27/1987,,South Korea,,,M
Jeongmin,Lee Jeongmin,이정민,정민,2/1/1994,Boyfriend,South Korea,Suwon,,M
Jeongseung,Park Jeongseung,박정승,정승,5/20/2002,D-CRUNCH,South Korea,,,M
Jeonguk,Kim Jeonguk,김정욱,정욱,3/20/1993,24K,South Korea,Busan,,M
Jeongwoo,Park Jeongwoo,박정우,정우,9/28/2004,Treasure,South Korea,,,M
Jeongyeon,Yoo Jeongyeon,유정연,정연,11/1/1996,Twice,South Korea,Suwon,,F
Jeonyul,Jeon Yuri,전유리,전율,3/20/1994,Stellar,South Korea,Seoul,,F
Jerome,Oh Sungmin,오성민,제롬,8/25/2001,TOO,South Korea,,,M
Jerrry,Ahn Sohyun,안소현,제리,8/27/1992,Tahiti,South Korea,Seoul,,F
Jessica,Jessica Jung,제시카 정,제시카,4/18/1989,,South Korea,,,F
Ji Hansol,Ji Hansol,지한솔,지한솔,11/21/1994,Newkidd,South Korea,Busan,,M
Jia,Meng Jia,멍지아,지아,2/3/1989,miss A,China,Changja,,F
Jiae,Yoo Jiae,유지애,지애,5/21/1993,Lovelyz,South Korea,Seoul,,F
Jiae,Kim Jiae,김지애,지애,10/31/1995,Wassup,South Korea,,,F
Jiahn,Yoo Jiahn,유지안,지안,4/1/1992,IN2IT,South Korea,,,M
Jibeom,Kim Jibeom,김지범,지범,2/3/1999,Golden Child,South Korea,,,M
Song Jieun,Song Jieun,송지은,지은,5/5/1990,SECRET,South Korea,Seoul,,F
Jihan,Han Jihyo,한지효,지한,7/12/2004,Weeekly,South Korea,,,F
Jiheon,Baek Jiheon,백지헌,지헌,4/17/2003,fromis_9,South Korea,Jeolla,,F
Jiho,Kim Jiho,김지호,지호,4/4/1997,Oh My Girl,South Korea,Okcheon,,F
Jihoo,Lim Soojung,임수정,지후,8/5/1998,IZ,South Korea,,,M
Park Jihoon,Park Jihoon,박지훈,지훈,5/29/1999,Wanna One,South Korea,Masan,,M
Jihoon,Park Jihoon,박지훈,지훈,3/14/2000,Treasure,South Korea,Busan,,M
Jihun,Kim Jihun,김지훈,지훈,1/9/2000,TRCNG,South Korea,Daegu,,M
Jihun,Kim Jihun,김지훈,지훈,2/20/1995,KNK,South Korea,,,M
Jihyo,Park Jisoo,박지수,지효,2/1/1997,Twice,South Korea,Guri,,F
Jihyun,Nam Jihyun,남지현,지현,1/9/1990,4minute,South Korea,Seoul,,F
Jimin,Shin Jimin,신지민,지민,1/8/1991,AoA,South Korea,Seoul,AOA BLACK,F
Jimin,Park Jimin,박지민,지민,10/13/1995,BTS,South Korea,Busan,,M
JIN,Park Myungeun,박명은,진,6/12/1996,Lovelyz,South Korea,Busan,,F
Jin,Kim Seokjin,김석진,진,12/4/1992,BTS,South Korea,Gwacheon,,M
Jin Jin,Park Jinwoo,박진우,진진,3/15/1996,ASTRO,South Korea,Nowon,,M
JinE,Shin Hyejin,신혜진,진이,1/22/1995,,South Korea,Pohang,,F
Jingyu,Lee Jingyu,이진규,진규,4/22/1998,Astin,South Korea,,,M
Jinho,Jo Jinho,조진호,조진호,4/17/1992,PENTAGON,South Korea,,,M
Jinhong,Kim Jinhong,김진홍,진홍,1/2/1998,24K,South Korea,Seoul,,M
Jinhoo,Kim Jinwook,김진욱,진후,8/2/1995,UP10TION,South Korea,Changwon,,M
Jinhui,,,진희,11/21/1996,Lusty,South Korea,Seongnam,,F
Jinju,Park Jinju,박진주,진주,4/28/1990,,South Korea,,,F
Jinkwon,Kim Jinkwon,김진권,진권,1/31/2001,Newkidd,South Korea,,,M
Jinny,Park Jinhee,박진희,지니,1/19/1998,SECRET NUMBER,South Korea,California,,F
Jinsol,Lee Jinsol,이진솔,진솔,12/4/2001,APRIL,South Korea,Andong,,F
JinSoul,Jung Jinsol,정진솔,진솔,6/13/1997,LOONA,South Korea,,Loona Odd Eye Circle,F
Jinsung,Jung Jinsung,정진성,진성,3/30/2002,1the9,South Korea,Seoul,,M
Jinwoo,Kim Jinwoo,김진우,진우,9/26/1991,WINNER,South Korea,Imja,,M
Jinwoo,Lee Jinwoo,이진우,진우,2/20/1996,1TEAM,South Korea,,,M
Jinwoo,Park Jinwoo,박진우,진우,1/12/2000,ENOi,South Korea,,,M
Jinwoo,Lee Jinwoo,이진우,진우,9/13/2004,TEEN TEEN,South Korea,,,M
Jinyoung,Jung Jinyoung,정진영,진영,11/18/1991,B1A4,South Korea,Chungju,,M
Jinyoung,Park Jinyoung,박진영,진영,9/22/1994,GOT7,South Korea,Changwon,,M
Jinyoung,Bae Jinyoung,배진영,진영,5/10/2000,CIX,South Korea,Seoul,,M
Jinyoung,Woo Jinyoung,우진영,진영,5/31/1997,D1CE,South Korea,,,M
Jisan,Choi Jinsang,최지상,지산,11/3/1999,Hot Blood Youth,South Korea,,,M
Jisoo,Seo Jisoo,서지수,지수,2/11/1994,Lovelyz,South Korea,Incheon,,F
Jisoo,Kim Jisoo,김지수,지수,1/3/1995,BLACKPINK,South Korea,Seoul,,F
Jisoo,Shin Jisoo,신지수,지수,2/28/1994,Tahiti,South Korea,Chuncheon,,F
Jisoo,Jung Jisoo,정지수,지수,11/22/2003,Busters,South Korea,,,F
Jisook,Kim Jisook,김지숙,지숙,7/18/1990,Rainbow,South Korea,Suwon,Rainbow Pixie,F
Jisu,Choi Jisu,최지수,지수,1/19/2000,TOO,South Korea,,,M
Jisun,Roh Jisun,노지선,지선,11/23/1998,fromis_9,South Korea,Seoul,,F
Jisun,Hwang Jisun,황지선,지선,10/17/1989,S#aFLA,South Korea,,,F
Jisung,Park Jisung,박지성,지성,2/5/2002,NCT,South Korea,,NCT Dream,M
Jisung,Yoon Jisung,윤지성,지성,3/8/1991,Wanna One,South Korea,Wonju,,M
Jisung,Kim Jisung,김지성,지성,12/21/2000,TRCNG,South Korea,,,M
Jiu,Kim Minji,김민지,지유,5/17/1994,Dreamcatcher,South Korea,Daejeon,,F
Jiwon,Yang Jiwon,양지원,지원,4/5/1988,UNI.T,South Korea,Seoul,SPICA-S,F
Jiwon,Park Jiwon,박지원,지원,3/20/1998,fromis_9,South Korea,Busan,,F
Jiwon,Heo Jiwon,허지원,지원,9/4/2000,Cherry Bullet,South Korea,,,F
Jiwoo,Jeon Jiwoo,전지우,지우,10/4/1996,KARD,South Korea,,,F
Jiyeon,Park Jiyeon,박지연,지연,6/7/1993,T-ara,South Korea,Seoul,,F
Jenyer,Jeon Jiyoon,전지윤,지윤,10/15/1990,4minute,South Korea,Seoul,2YOON,F
Jiyoon,Woo Jiyoon,우지윤,지윤,1/6/1996,Bolbbalgan4,South Korea,Yeongju,,F
Jiyoon,Shin Jiyoon,신지윤,지윤,3/2/2002,Weeekly,South Korea,,,F
Jiyou,Im Changsook,임창숙,지유,6/15/1989,Two X,South Korea,,,F
Jiyoung,Kang Jiyoung,강지영,지영,1/18/1994,,South Korea,Paju,,F
Jiyoung,Ahn Jiyoung,안지영,지영,9/14/1995,Bolbbalgan4,South Korea,Yeongju,,F
Jiyul,Yang Jungyoon,양정윤,지율,7/30/1991,,South Korea,Seoul,,F
JJ,Jun Jihyeok,전진혁,제이제이,12/11/1998,DUSTIN,South Korea,,,M
JK,Kim Jikang,김지강,지강,3/17/1998,Girlkind,South Korea,,,F
Johnny,John Seo,존 서,쟈니,2/9/1995,NCT,USA,Chicago,NCT 127,M
Johyun,Shin Jiwon,신지원,조현,4/14/1996,Berry Good,South Korea,,,F
Jongho,Choi Jongho,최종호,종호,10/12/2000,ATEEZ,South Korea,,,M
Jonghoon,Choi Jonghoon,최종훈,종훈,3/7/1990,FTISLAND,South Korea,Seoul,,M
Jonghwan,Jo Jonghwan,조종환,종환,11/23/1992,100%,South Korea,Seoul,,M
Jonghyeong,Kim Jonghyeong,김종형,종형,4/13/2002,Dongkiz,South Korea,,,M
Jong-hyun,Kim Jonghyun,김종현,종현,4/8/1990,SHINee,South Korea,Seoul,,M
Jonghyun,Lee Jonghyun,이종현,종현,5/15/1990,CNBLUE,South Korea,Busan,,M
Moon Jongup,Moon Jongup,문종업,종업,2/6/1995,B.A.P,South Korea,Seoul,,M
JOO,Jung Minjoo,정민주,주,10/11/1990,,South Korea,Seoul,,F
Joo E,Lee Joowon,이주원,주이,8/18/1999,MOMOLAND,South Korea,Bucheon,,F
Jooan,Im Jimyoung,임지명,주안,10/4/1996,We In The Zone,South Korea,Dongtan,,M
Joochan,Hong Joochan,홍주찬,주찬,7/31/1999,Golden Child,South Korea,,,M
Jooheon,Lee Jooheon,이주헌,주헌,10/6/1994,MONSTA X,South Korea,Daegu,,M
Jooyeon,Lee Jooyeon,이주연,주연,3/19/1987,,South Korea,Seoul,,F
Joshua,Hong Jisoo,홍지수,조슈아,12/30/1995,Seventeen,USA,Los Angeles,,M
Joy,Park Sooyoung,박수영,조이,9/3/1996,Red Velvet,South Korea,Jeju,,F
JR,Kim Jonghyun,김종현,제이알,6/8/1995,NU'EST,South Korea,Gangwon,NU'EST W,M
Ju-ne,Koo Junhoe,구준회,준회,3/31/1997,iKON,South Korea,Seoul,,M
Jueun,Lee Jooeun,이주은,주은,7/7/1995,DIA,South Korea,Suwon,BinChaenHyunSeuS,F
Jueun,Jo Jueun,조주은,주은,1/27/2001,ARIAZ,South Korea,,,F
Juhaknyeon,Ju Haknyeon,주학년,주학년,3/9/1999,The Boyz,South Korea,Jeju,,M
Juju,Park Juyoung,박주영,쥬쥬,1/3/1996,Gate9,South Korea,Changwon,,F
Jun,Weng Junhui,원쥔훼이,준,6/10/1996,Seventeen,China,Shenzen,,M
Jun,Lee Junyoung,이준영,준,1/22/1997,U-KISS,South Korea,,,M
